BASE_YM,CL_NM,TRRSRT_NM,TRRSRT_ADDR,SCORE_VALUE,MOP_CN,REGIST_DE
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"일등,입장,마련,추억,카페",20230114
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"시간,기대",20230112
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"카페,추천",20230112
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,코스,정도,코너,쿠폰",20230111
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,구경,20230111
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"여행,가족,기분,커피",20230110
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"구매,장소,사진,방문,경험",20230110
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"입장,체험,설명",20230110
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"박물관,체험,유일,아이",20230109
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,아이,20230109
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"고흐,작품",20230109
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,사진,동영상,매력,촬영",20230108
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,친절,적극,추억,친구",20230107
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"그림,파충류,체험",20230130
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"흥미,사진,방문,생각,아이",20230130
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,고흐,체험,풍경,지면",20230130
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,사진,아이,체험장,정원",20230130
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,설명,영상,의미,체험",20230129
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"친절,설명,방문,체험,편안",20230129
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"체험,사진",20230128
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"활용,파충류,동물,체험,기회",20230128
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"증강현실,설명,사진,구경,직원",20230128
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"입장,도마뱀,설명,추억,기대",20230128
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"고흐,아이,정원",20230127
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"방울,아이,비누",20230126
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,장소,사진,체험,볼거리",20230123
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,흥미,체험,아이,그림",20230123
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"색칠,파충류,친절,체험",20230123
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"그림,정원",20230122
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,아이,20230122
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,참여,20230122
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"친절,사진,뽀로로,가족,음료",20230122
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,체험,아이,그림,감상",20230121
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"여행,친절,설명,매표,엄마",20230121
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"전시품,전시,사진",20230121
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,친구,20230120
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,관람객,20230119
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,아이,도마뱀,고흐,트릭아트",20230118
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"사진,아이",20230118
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"고민,사진,그림,고흐,경험",20230117
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"부모,아이",20230116
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,그림,고흐,정원,이해",20230116
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,감사,20230116
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"카페,그림,고흐,시간,제주",20230116
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"그림,설치,어플,사진",20230115
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,사진,20230114
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,사진,아이,사장,카페",20230114
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"만족,도마뱀,고흐,생동감,작품",20230114
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,사진,토끼,체험,먹이",20230112
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"추억,산책,인증,뽑기,동물",20230111
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"일등,입장,마련,추억,카페",20230111
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"시간,기대",20230110
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"카페,추천",20230110
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,코스,정도,코너,쿠폰",20230110
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,구경,20230109
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"여행,가족,기분,커피",20230109
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"구매,장소,사진,방문,경험",20230109
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"입장,체험,설명",20230108
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"박물관,체험,유일,아이",20230108
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,아이,20230107
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"고흐,작품",20230107
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,사진,동영상,매력,촬영",20230107
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,체험,전시,경치,가성비",20230107
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"고흐,방법,작품",20230107
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,아이,만족,카페,방문",20230107
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"일등,열쇠고리,아메리카노,최고",20230106
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"친절,커피",20230106
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"뽑기,아이",20230130
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,실내,관광지,체험,고흐",20230130
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"성산,예상",20230130
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,사진,아이,체험장,정원",20230129
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"시간,구매,아들,아쿠아리움,발걸음",20230129
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"사진,미술관,가족,선물,뽑기",20230128
202301,공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,0,"파충류,설명,영상,의미,체험",20230128
